Latitude,Longitude,Flood depth (m)
26.128,91.814,0.010717573
26.167,91.719,0.010726568
26.152,91.751,0.010730804
26.129,91.76,0.010753217
26.18,91.768,0.01075984
26.128,91.815,0.010797085
26.113,91.8,0.010819637
26.167,91.762,0.010896076
26.19,91.787,0.010899273
26.168,91.764,0.010990634
26.12,91.744,0.011043305
26.119,91.744,0.011043305
26.185,91.771,0.011046122
26.127,91.815,0.011071842
26.152,91.794,0.0112024
26.186,91.772,0.011238019
26.144,91.773,0.011552174
26.144,91.774,0.011738936
26.166,91.767,0.011849396
26.171,91.758,0.0119528
26.168,91.732,0.011963568
26.168,91.733,0.012092252
26.153,91.792,0.012217258
26.18,91.767,0.012331188
26.114,91.814,0.012340012
26.106,91.809,0.012340012
26.106,91.808,0.012340012
26.106,91.807,0.012340012
26.106,91.806,0.012340012
26.105,91.806,0.012340012
26.105,91.805,0.012340012
26.144,91.746,0.012354906
26.154,91.792,0.012404568
26.121,91.743,0.012437131
26.151,91.806,0.012716063
26.146,91.797,0.012739437
26.143,91.773,0.012775366
26.163,91.75,0.012867806
26.169,91.756,0.012924885
26.167,91.758,0.013016771
26.114,91.801,0.013016795
26.152,91.792,0.013087083
26.171,91.751,0.013096458
26.126,91.816,0.013131319
26.126,91.747,0.013162897
26.166,91.76,0.013190799
26.181,91.775,0.013208804
26.155,91.792,0.013221785
26.155,91.791,0.013248463
26.175,91.739,0.013297788
26.151,91.805,0.0133494
26.169,91.789,0.013391966
26.127,91.816,0.013507967
26.146,91.796,0.013525411
26.135,91.766,0.01353811
26.133,91.754,0.013759509
26.19,91.786,0.013800988
26.143,91.746,0.01387436
26.149,91.796,0.013949749
26.152,91.793,0.013956622
26.163,91.787,0.014068261
26.146,91.792,0.014139011
26.154,91.746,0.01416678
26.166,91.762,0.014204406
26.149,91.795,0.014213141
26.164,91.786,0.014236929
26.167,91.757,0.014313922
26.118,91.74,0.014474227
26.151,91.741,0.014579829
26.186,91.792,0.014716094
26.147,91.741,0.014770648
26.146,91.765,0.014832081
26.169,91.738,0.014890214
26.135,91.737,0.015001297
26.147,91.803,0.015073946
26.136,91.694,0.015143257
26.147,91.801,0.01524987
26.185,91.79,0.015317297
26.145,91.8,0.015343044
26.144,91.8,0.01538149
26.184,91.796,0.01543789
26.142,91.77,0.015491914
26.178,91.754,0.015496689
26.146,91.743,0.015510507
26.167,91.76,0.015632315
26.178,91.752,0.015757595
26.179,91.753,0.015796757
26.144,91.745,0.015810635
26.148,91.749,0.015919644
26.169,91.737,0.015966582
26.188,91.787,0.015973406
26.144,91.799,0.015997852
26.146,91.795,0.016009234
26.145,91.798,0.016047173
26.127,91.817,0.01609129
26.147,91.791,0.016165854
26.156,91.775,0.016251733
26.175,91.751,0.016527786
26.144,91.798,0.016558503
26.131,91.823,0.016559602
26.152,91.742,0.016596315
26.144,91.793,0.016680048
26.162,91.787,0.016773859
26.15,91.795,0.016798942
26.151,91.795,0.016798942
26.145,91.797,0.016808625
26.178,91.763,0.016810629
26.162,91.754,0.016847715
26.134,91.74,0.016847925
26.145,91.796,0.016884478
26.128,91.817,0.016909672
26.144,91.797,0.016931303
26.129,91.74,0.017037776
26.13,91.823,0.017092209
26.132,91.768,0.017179947
26.151,91.794,0.017180227
26.174,91.766,0.017241564
26.117,91.811,0.01725786
26.185,91.793,0.017304109
26.129,91.82,0.017338575
26.129,91.819,0.017345027
26.167,91.784,0.017393707
26.168,91.763,0.017455204
26.178,91.764,0.017519279
26.179,91.763,0.017539221
26.167,91.785,0.017579381
26.184,91.794,0.017601024
26.16,91.748,0.017619338
26.132,91.767,0.017626358
26.144,91.775,0.017653813
26.121,91.742,0.017688831
26.144,91.794,0.017706388
26.145,91.795,0.017706388
26.145,91.776,0.017720324
26.129,91.821,0.017730798
26.13,91.822,0.01777616
26.129,91.822,0.017790346
26.179,91.766,0.017790951
26.151,91.743,0.017862471
26.17,91.756,0.0179131
26.177,91.772,0.017945964
26.179,91.765,0.017948704
26.145,91.777,0.017979469
26.144,91.777,0.01799409
26.129,91.818,0.018015891
26.145,91.792,0.018028588
26.145,91.793,0.018028588
26.146,91.794,0.018060478
26.109,91.748,0.018075099
26.176,91.753,0.018176355
26.109,91.749,0.018250272
26.18,91.766,0.018256603
26.161,91.748,0.0183091
26.153,91.777,0.018331728
26.128,91.819,0.018389066
26.128,91.818,0.018425949
26.172,91.75,0.018513098
26.176,91.754,0.018535609
26.175,91.74,0.018596271
